id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison
200,,carburant,905.52,Kilogramme,monthly,winter
201,Compost à base de déchets verts,engrais,808.45,Millilitre,daily,summer
202,Sable pour drainage,eau,491.47,Acre,weekly,fall
203,Équipement de protection individuelle,pesticide,901.21,Mètre cube,weekly,summer
204,Semences de sésame,engrais,303.18,Litre,monthly,fall
205,Écorces pour paillis,pesticide,636.43,Acre,monthly,spring
206,Biopesticide à base de saponines,carburant,931.15,Acre,weekly,summer
207,Biogaz pour chauffage,pesticide,255.99,Hectare,weekly,spring
208,Pesticide à base de formaldéhyde,pesticide,268.42,Acre,monthly,fall
209,Éthanol à base de maïs,engrais,509.55,Kilogramme,monthly,spring
210,Engrais enrichi en fer,semences,251.27,Acre,weekly,fall
211,Engrais pour arbres fruitiers,engrais,377.44,Litre,weekly,fall
212,,carburant,842.4,Kilogramme,daily,summer
213,Engrais à base de lactosérum,engrais,209.53,Kilogramme,weekly,summer
214,Biocarburant à base de colza,pesticide,231.98,Gramme,daily,fall
215,Débroussailleuse à essence,semences,524.81,Litre,daily,fall
216,Engrais à base de fumier de cheval,carburant,900.52,Mètre cube,weekly,fall
217,Semences de concombre,pesticide,286.78,Mètre cube,monthly,spring
218,Herbicide à base de metolachlore,eau,268.56,Kilogramme,monthly,fall
219,Fongicide à base de propiconazole,semences,360.17,Gramme,daily,spring
220,Kit de micro-irrigation automatisée,pesticide,995.73,Millilitre,weekly,winter
221,Biocarburant à base de colza,engrais,839.85,Hectare,monthly,winter
222,Carburant à base de biomasse,engrais,824.58,Millilitre,monthly,fall
223,Insecticide biologique à base de pyréthre,semences,540.65,Litre,weekly,summer
224,,eau,884.14,Hectare,monthly,fall
225,Semences de soja,eau,540.85,Hectare,weekly,summer
226,Filet de protection anti-insectes,carburant,690.26,Hectare,daily,fall
227,Outils de jardinage manuels,pesticide,558.8,Acre,weekly,winter
228,Semences de brocoli,semences,901.43,Acre,daily,spring
229,Essence pour tondeuse à gazon,pesticide,754.27,Hectare,daily,spring
230,Pompe d’irrigation solaire,carburant,797.82,Acre,daily,spring
231,Substrat pour culture hydroponique,semences,396.69,Mètre cube,monthly,fall
232,Graines de céleri,pesticide,554.38,Mètre cube,daily,summer
233,Insecticide à base de abamectine,eau,950.7,Acre,daily,summer
234,,carburant,727.12,Litre,monthly,spring
