id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison,"surface_couvré"
100,Semences de haricot vert,semences,100.72,Acre,daily,summer,387 m²
101,Semences de millet,engrais,82.73,Acre,daily,summer,664 m²
102,Semences de blé tendre,semences,357.98,Gramme,daily,spring,130 m²
103,Compost à base de déchets verts,semences,231.03,Acre,weekly,summer,639 m²
104,Engrais de couverture pour sols,semences,523.54,Millilitre,daily,spring,643 m²
105,Système d’irrigation par aspersion,eau,702.69,Hectare,daily,summer,502 m²
106,Graines de pois chiche,eau,381.67,Kilogramme,monthly,summer,990 m²
107,Graines de kiwi,engrais,427.21,Tonnes,monthly,fall,678 m²
108,Pesticide à base de fongus entomopathogène,carburant,417.58,Kilogramme,daily,spring,101 m²
109,Kit de goutte à goutte portable,semences,507.83,Tonnes,daily,spring,633 m²
110,Eau de pluie filtrée,engrais,374.28,Kilogramme,,spring,672 m²
111,Système de filtrage d'eau,engrais,566.74,Gramme,daily,summer,859 m²
112,Engrais azoté NPK 20-20-20,carburant,454.82,Acre,daily,summer,388 m²
113,Insecticide à base de lambda-cyhalothrine,semences,438.56,Mètre cube,daily,summer,500 m²
114,Semences de carotte,carburant,159.97,Gramme,weekly,spring,781 m²
115,Débroussailleuse à essence,carburant,903.66,Litre,monthly,summer,720 m²
116,Substrat pour culture hydroponique,carburant,934.68,Millilitre,weekly,winter,343 m²
117,Bois de chauffage,carburant,188.75,Acre,,winter,510 m²
118,Semences de millet,engrais,583.51,Hectare,weekly,spring,145 m²
119,Pesticide à base de formaldéhyde,semences,97.17,Millilitre,weekly,fall,111 m²
120,Engrais organique à base de compost,engrais,765.55,Acre,daily,fall,583 m²
121,Réservoir d'eau potable,eau,650.42,Mètre cube,daily,spring,177 m²
122,Herbicide à base d'acide acétique,carburant,617.45,Hectare,weekly,winter,510 m²
123,Engrais à base de lactosérum,engrais,514.32,Kilogramme,weekly,winter,914 m²
124,Eau de source pour agriculture,carburant,75.89,Hectare,daily,summer,740 m²
125,Culture d’algues pour compost,eau,818.5,Gramme,weekly,spring,319 m²
126,Engrais enrichi en fer,semences,662.86,Millilitre,monthly,spring,748 m²
127,Engrais minéral à base de soufre,engrais,867.97,Kilogramme,,winter,720 m²
128,Paille de blé pour paillage,carburant,688.44,Hectare,monthly,summer,328 m²
129,Écorces pour paillis,semences,642.8,Acre,monthly,fall,605 m²
130,Semences de carvi,engrais,678.75,Millilitre,weekly,fall,150 m²
131,Solution nutritive hydroponique,eau,531.47,Acre,weekly,summer,639 m²
132,Semences de millet,eau,533.91,Tonnes,daily,winter,489 m²
133,Épices pour agriculture bio,eau,200.28,Gramme,daily,winter,890 m²
134,Herbicide à base d'acide acétique,engrais,290.19,Kilogramme,weekly,spring,590 m²
135,Écorces pour paillis,carburant,794.34,Millilitre,monthly,summer,192 m²
136,Bassin de stockage d'eau,carburant,450.89,Litre,,winter,388 m²
137,Fertilisant biologique à base d’algues,carburant,525.05,Gramme,,summer,762 m²
138,Pesticide à base de thiaclopride,engrais,299.86,Millilitre,weekly,summer,751 m²
139,Semences de soja,carburant,46.74,Gramme,weekly,summer,275 m²
140,Cendres de bois comme amendement,semences,954.65,Litre,,summer,472 m²
141,Semences de melon,carburant,454.17,Hectare,daily,summer,343 m²
142,Outils de jardinage manuels,semences,161.84,Kilogramme,daily,winter,924 m²
143,Graines de colza,carburant,313.65,Hectare,weekly,fall,649 m²
144,Insecticide à base de spinosad,carburant,187.92,Acre,weekly,winter,848 m²
145,Semences de sauge,engrais,635.48,Gramme,monthly,fall,509 m²
146,Carburant à base d'huile usagée,carburant,873.86,Kilogramme,weekly,summer,273 m²
147,Énergie solaire pour pompes,semences,477.71,Litre,,fall,737 m²
148,Épices pour agriculture bio,semences,198.63,Hectare,monthly,fall,385 m²
149,Terreau de qualité supérieure,eau,326.26,Hectare,monthly,fall,358 m²
150,Désherbant systémique non toxique,eau,10.38,Mètre cube,daily,summer,758 m²
151,Semences de romarin,eau,231.89,Hectare,monthly,spring,130 m²
152,Pesticide à base d'extraits de plantes,eau,265.44,Kilogramme,weekly,fall,605 m²
153,Kit de goutte à goutte portable,carburant,443.67,Kilogramme,,summer,428 m²
154,Culture d’algues pour compost,carburant,954.77,Millilitre,weekly,spring,
155,Système de filtration pour irrigation,carburant,357.39,Hectare,daily,summer,142 m²
156,Sable pour drainage,engrais,259.2,Tonnes,monthly,spring,579 m²
157,Carburant à base d'huile usagée,carburant,462.31,Hectare,monthly,fall,100 m²
158,Eau purifiée pour irrigation goutte-à-goutte,carburant,698.87,Kilogramme,daily,fall,904 m²
159,Fongicide à base de cuivre,engrais,277.54,Kilogramme,monthly,summer,145 m²
160,Semences de chou-fleur,engrais,686.31,Kilogramme,daily,summer,410 m²
161,Bois pour construction de serres,eau,947.48,Kilogramme,weekly,spring,803 m²
162,Semences de chou-fleur,carburant,28.13,Mètre cube,,fall,489 m²
163,Carburant biodiesel,carburant,116.49,Hectare,,spring,355 m²
164,Désherbant systémique non toxique,carburant,831.1,Acre,,fall,810 m²
165,Électricité solaire pour pompe,semences,382.84,Mètre cube,monthly,spring,671 m²
